	ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
2018-J014-1-N-TIPmmrsa_S47_L001	8	3	3	1	1	4	4	3
2064-K016-1-N-TIPmmrsa_S54_L001	5	1	4	1	4	12	1	10
206-K008-30-U-TIPmmrsa	231	1	34	1	4	12	1	28
2084-F036-60-O-TIPmmrsa_S6_L001	5	1	4	1	4	12	1	10
2087-F041-14-U-TIPmmrsa_S20_L001	5	1	4	1	4	12	1	10
2095-2027-0-NMRSA_S24_L001	5	1	4	1	4	12	1	10
2175-4035-14-HMRSA_S25_L001	5	1	4	1	4	12	1	10
2239-3031-60-NMRSA_S53_L001	5	1	4	1	4	12	1	10
2322-6014-0-NMRSA_S26_L001	5	1	4	1	4	12	1	10
2457-1048-0-NMRSA_S54_L001	5	1	4	1	4	12	1	10
2497-3042-0-NMRSA_S27_L001	5	1	4	1	4	12	1	10
2567-1050-0-NMRSA_S55_L001	8	3	3	1	1	4	4	3
2568-2029-14-HMRSA_S7_L001	5	1	4	1	4	12	1	10
2573-5010-0-NMRSA_S5_L001	5	1	4	1	4	12	1	10
2689-2030-0-HMRSA_S6_L001	5	1	4	1	4	12	1	10
273-4005-0-NMRSA_S59_L001	5	1	4	1	4	12	1	10
2893-4047-0-NMRSA_S7_L001	5	1	4	1	4	12	1	10
2897-4048-0-HMRSA_S1_L001	5	1	4	1	4	12	1	10
292-4006-0-OMRSA_S60_L001	87	19	23	15	2	41	20	15
293-E002-DC-O-TIPmmrsa	5	1	4	1	4	12	1	10
2960-3047-0-NMRSA_S2_L001	5	1	4	1	4	12	1	10
3011-2034-0-HMRSA_S34_L001	5205	1	4	1	4	12	1	685
3018-F037-60-N-MRSA-TIP_S2_L001	5	1	4	1	4	12	1	10
3019-F039-30-O-TIPmmrsa_S41_L001	45	10	14	8	6	10	3	2
3033-E071-14-N1-TIPmmrsa_S55_L001	5	1	4	1	4	12	1	10
3045-F043-1-N-TIPmmrsa_S7_L001	5	1	4	1	4	12	1	10
3050-J015-1-O-TIPmmrsa_S14_L001	5	1	4	1	4	12	1	10
3102-6017-14-NMRSA_S24_L001	5	1	4	1	4	12	1	10
3134-A014-1-N-TIPmmrsa_S28_L001	5	1	4	1	4	12	1	10
3183-D040-1-N-TIPmmrsa_S9_L001	5	1	4	1	4	12	1	10
3216-E075-1-G1-TIPmmrsa_S42_L001	5	1	4	1	4	12	1	10
3218-E076-1-N-TIPmmrsa_S49_L001	5	1	4	1	4	12	1	10
3220-L012-14-N1-TIPmmrsa_S56_L001	5	1	4	1	4	12	1	10
3242-E079-1-N-TIPmmrsa_S15_L001	5	1	4	1	4	12	1	10
3243-E080-1-N-TIPmmrsa_S22_L001	5	1	4	1	4	12	1	10
324-H001-30-U-TIPmmrsa	45	10	14	8	6	10	3	2
3258-F045-30-R-TIPmmrsa_S36_L001	5	1	4	1	4	12	1	10
32-K006-1-G-TIPmmrsa_S2_L001	5	1	4	1	4	12	1	10
3337-E083-14-G-TIPmmrsa	5	1	4	1	4	12	1	10
3376-E087-1-N-TIPmmrsa_S2_L001	5	1	4	1	4	12	1	10
3377-F049-30-N-TIPmmrsa_S9_L001	5	1	4	1	4	12	1	10
3390-D041-90-O-TIPmmrsa_S16_L001	5	1	4	1	4	12	1	10
33-A002-1-N-TIPmmrsa	109	3	27	1	1	1	1	10
3404-F048-90-N-TIPmmrsa_S23_L001	5	1	4	1	4	12	1	10
3414-2038-0-NMRSA_S5_L001	5	1	4	1	4	12	1	10
3428-F052-1-N-TIPmmrsa_S30_L001	5	1	4	1	4	12	1	10
3431-F034-240-N-TIPmmrsa_S37_L001	231	1	34	1	4	12	1	28
343-4007-0-NMRSA_S1_L001	5	1	4	1	4	12	1	10
3440-D045-30-N-TIPmmrsa	5*	1	4	1	4	12	1	10*
3449-E093-14-N-TIPmmrsa	45	10	14	8	6	10	3	2
3468-E082-90-F-TIPmmrsa_S3_L001	45	10	14	8	6	10	3	2
3469-E096-14-F-TIPmmrsa_S10_L001	8	3	3	1	1	4	4	3
3477-F053-1-N1-TIPmmrsa_S17_L001	5	1	4	1	4	12	1	10
3484-J011-360-U-TIPmmrsa_S24_L001	8	3	3	1	1	4	4	3
3490-E102-1-N-TIPmmrsa_S31_L001	5178	1	4	599	4	12	1	10
3492-E103-1-N-TIPmmrsa	5	1	4	1	4	12	1	10
3496-E098-14-N-TIPmmrsa	5	1	4	1	4	12	1	10
3498-6022-0-OMRSA_S6_L001	5	1	4	1	4	12	1	10
34-A001-1-F-MRSA-TIP_S6_L001	5	1	4	1	4	12	1	10
3504-E104-1-F1-TIPmmrsa	5	1	4	1	4	12	1	10
3507-C012-30-N-TIPmmrsa_S4_L001	5	1	4	1	4	12	1	10
3508-F055-14-N1-TIPmmrsa_S6_L001	5	1	4	1	4	12	1	10
3527-L014-1-N-TIPmmrsa_S6_L001	5	1	4	1	4	12	1	10
3528-L013-1-N-TIPmmrsa_S25_L001	5	1	4	1	4	12	1	10
3530-E105-1-N-TIPmmrsa_S32_L001	5	1	4	1	4	12	1	10
3537-C015-1-N-TIPmmrsa_S4_L001	5	1	4	1	4	12	1	10
3558-H015-1-N1-TIPmmrsa	8	3	3	1	1	4	4	3
3558-H019-1-N1-MRSA-TIP_S23_L001	8	3	3	1	1	4	4	3
3562-J023-1-U-TIPmmrsa_S53_L001	5	1	4	1	4	12	1	10
3577-H009-270-N-TIPmmrsa_S5_L001	5	1	4	1	4	12	1	10
3611-F059-14-N-TIPmmrsa_S12_L001	5	1	4	1	4	12	1	10
3614-5015-14-HMRSA_S7_L001	5	1	4	1	4	12	1	10
3614-F061-1-O-TIPmmrsa_S19_L001	5	1	4	1	4	12	1	10
3623-j022-30-F-TIPmmrsa_S33_L001	5	1	4	1	4	12	1	10
3624-L016-1-N-TIPmmrsa_S40_L001	5	1	4	1	4	12	1	10
3641-B012-60-G-TIPmmrsa_S47_L001	8	3	3	1	1	4	4	3
3658-F063-1-F-TIPmmrsa_S54_L001	5	1	4	1	4	12	1	10
3679-J024-1-G-TIPmmrsa_S6_L001	5	1	4	1	4	12	1	10
368-D001-30-N-TIPmmrsa_S38_L001	5	1	4	1	4	12	1	10
369-3009-14-NMRSA_S30_L001	8	3	3	1	1	4	4	3
369-D002-30-R-TIPmmrsa_S40_L001	5	1	4	1	4	12	1	10
3709-4065-0-NMRSA_S14_L001	5	1	4	1	4	12	1	10
370-F005-14-U-TIPmmrsa_S44_L001	5	1	4	1	4	12	1	10
371-F007-14-F-TIPmmrsa_S48_L001	5	1	4	1	4	12	1	10
3720-J026-1-N-TIPmmrsa_S13_L001	8	3	3	1	1	4	4	3
3725-K018-1-N-TIPmmrsa_S20_L001	5	1	4	1	4	12	1	10
3749-J029-1-W-TIPmmrsa_S27_L001	5178	1	4	599	4	12	1	10
3750-K017-60-R-TIPmmrsa_S34_L001	5178	1	4	599	4	12	1	10
3787-H016-90-N-TIPmmrsa_S41_L001	8	3	3	1	1	4	4	3
3796-L019-0-O-TIPmmrsa_S48_L001	5	1	4	1	4	12	1	10
3797-C018-60-G-TIPmmrsa	5	1	4	1	4	12	1	10
3830-C019-1-N-TIPmmrsa_S11_L001	5	1	4	1	4	12	1	10
3842-4067-0-HMRSA_S12_L001	5	1	4	1	4	12	1	10
3846-I013-120-N-TIPmmrsa_S14_L001	5	1	4	1	4	12	1	10
3850-B013-90-R-TIPmmrsa_S34_L001	45	10	14	8	6	10	3	2
3865-3058-14-NMRSA_S13_L001	5	1	4	1	4	12	1	10
3885-F067-1-G-TIPmmrsa_S21_L001	5178	1	4	599	4	12	1	10
3907-H020-1-N-TIPmmrsa_S28_L001	8	3	3	1	1	4	4	3
3933-A018-14-W-TIPmmrsa_S35_L001	8	3	3	1	1	4	4	3
3938-K019-14-U-TIPmmrsa	5	1	4	1	4	12	1	10
3962-E117-1-W-TIPmmrsa_S56_L001	5	1	4	1	4	12	1	10
3963-I014-1-N-TIPmmrsa_S57_L001	5	1	4	1	4	12	1	10
3964-2040-0-NMRSA_S14_L001	5	1	4	1	4	12	1	10
3985-G015-30-R-TIPmmrsa_S58_L001	5	1	4	1	4	12	1	10
4002-3062-0-NMRSA_S8_L001	5	1	4	1	4	12	1	10
4003-F066-60-N-MRSA-TIP_S12_L001	5	1	4	1	4	12	1	10
4055-6031-0-NMRSA_S9_L001	8	3	3	1	1	4	4	3
4062-B015-60-G-TIPmmrsa_S59_L001	45	10	14	8	6	10	3	2
4249-6029-30-HMRSA	5	1	4	1	4	12	1	10
425-4004-14-NMRSA_S3_L001	5	1	4	1	4	12	1	10
429-2005-30-NMRSA_S31_L001	8	3	3	1	1	4	4	3
4389-6035-0-HMRSA_S48_L001	5	1	4	1	4	12	1	10
4478-3067-14-OMRSA_S31_L001	5178	1	4	599	4	12	1	10
4510-1076-0-NMRSA_S12_L001	5	1	4	1	4	12	1	10
451-I005-1-R-TIPmmrsa_S10_L001	8	3	3	1	1	4	4	3
453-G004-60-F-TIPmmrsa_S11_L001	5	1	4	1	4	12	1	10
454-G006-30-N-TIPmmrsa_S12_L001	5	1	4	1	4	12	1	10
4575-5027-0-RMRSA_S13_L001	8	3	3	1	1	4	4	3
4644-3064-30-HMRSA_S14_L001	8*	3	3*	1	1	4	4	3
4681-4078-0-NMRSA_S21_L001	5	1	4	1	4	12	1	10
4880-3077-14-HMRSA_S19_L001	5	1	4	1	4	12	1	10
4906-2046-0-HMRSA_S20_L001	5	1	4	1	4	12	1	10
4956-2048-0-NMRSA_S21_L001	231	1	34	1	4	12	1	28
4997-5030-0-NMRSA_S15_L001	5	1	4	1	4	12	1	10
500-E014-1-F-TIPmmrsa_S13_L001	5	1	4	1	4	12	1	10
504-1008-0-NMRSA_S4_L001	5	1	4	1	4	12	1	10
5106-4084-0-HMRSA_S16_L001	105	1	4	1	4	12	1	28
511-J001-30-R-TIPmmrsa_S14_L001	8	3	3	1	1	4	4	3
515-E012-14-F-TIPmmrsa_S15_L001	5	1	4	1	4	12	1	10
520-2010-0-NMRSA_S32_L001	8	3	3	1	1	4	4	3
522-2011-0-NMRSA_S5_L001	5	1	4	1	4	12	1	10
526-1016-0-NMRSA_S33_L001	5	1	4	1	4	12	1	10
5263-3090-0-NMRSA_S44_L001	5	1	4	1	4	12	1	10
5312-4090-0-NMRSA_S55_L001	5	1	4	1	4	12	1	10
5407-2054-0-NMRSA_S38_L001	8	3	3	1	1	4	4	3
547-F009-30-N-TIPmmrsa_S57_L001	5	1	4	1	4	12	1	10
54-A007-1-N-TIPmmrsa_S4_L001	8	3	3	1	1	4	4	3
5510-4088-14-RMRSA_S19_L001	5	1	4	1	4	12	1	10
5633-4094-0-NMRSA_S20_L001	5	1	4	1	4	12	1	10
5684-6047-0-HMRSA_S21_L001	5	1	4	1	4	12	1	10
56-K002-14-R-TIPmmrsa_S5_L001	15	13	13	1	1	12	11	13
5726-3094-0-HMRSA_S28_L001	5	1	4	1	4	12	1	10
5755-3089-30-NMRSA_S26_L001	5	1	4	1	4	12	1	10
5797-4073-60-HMRSA_S27_L001	5178	1	4	599	4	12	1	10
5870-4054-180-NMRSA_S28_L001	5	1	4	1	4	12	1	10
587-1018-0-HMRSA_S6_L001	5	1	4	1	4	12	1	10
591-6002-30-OMRSA_S34_L001	5	1	4	1	4	12	1	10
6116-3096-14-NMRSA_S22_L001	105	1	4	1	4	12	1	28
6124-3100-0-NMRSA_S1_L001	105	1	4	1	4	12	1	28
6125-4099-0-NMRSA_S8_L001	5	1	4	1	4	12	1	10
6126-6050-0-NMRSA_S15_L001	5	1	4	1	4	12	1	10
6199-1095-0-NMRSA_S45_L001	5	1	4	1	4	12	1	10
61-L001-1-N-TIPmmrsa_S6_L001	5*	1*	4	1	4	12	1	10
6280-3098-14-HMRSA_S26_L001	8	3	3	1	1	4	4	3
6283-5035-0-NMRSA_S27_L001	5	1	4	1	4	12	1	10
62-K010-1-N-TIPmmrsa_S7_L001	231	1	34	1	4	12	1	28
6308-5036-0-HMRSA_S28_L001	Novel*	1	4	414*	4	12	1	10
631-E011-30-N-TIPmmrsa_S16_L001	5*	1	4*	1	4	12	1	10
639-3016-0-NMRSA_S8_L001	8	3	3	1	1	4	4	3
6422-3102-0-HMRSA_S35_L001	5	1	4	1	4	12	1	10
643-3018-0-SMRSA_S36_L001	5	1	4	1	4	12	1	10
6505-4101-14-NMRSA_S33_L001	8	3	3	1	1	4	4	3
6590-3105-0-NMRSA_S34_L001	5	1	4	1	4	12	1	10
6598-5037-14-HMRSA_S35_L001	5	1	4	1	4	12	1	10
667-C001-60-F-TIPmmrsa_S17_L001	8	3	3	1	1	4	4	3
6745-6057-0-NMRSA_S29_L001	5	1	4	1	4	12	1	10
675-H003-60-G1-TIPmmrsa_S55_L001	5	1	4	1	4	12	1	10
678-L003-30-U-TIPmmrsa_S41_L001	5	1	4	1	4	12	1	10
679-L004-DC-N-TIPmmrsa_S45_L001	5	1	4	1	4	12	1	10
6800-4104-0-HMRSA_S29_L001	8	3	3	1	1	4	4	3
7122-4107-14-NMRSA_S36_L001	5	1	4	1	4	12	1	10
7134-3114-0-HMRSA	ND	ND	ND	ND	ND	ND	ND	ND
717-E019-14-G-TIPmmrsa_S49_L001	5	1	4	1	4	12	1	10
719-J004-60-U-TIPmmrsa_S19_L001	8	3	3	1	1	4	4	3
721-3019-0-NMRSA_S9_L001	8	3	3	1	1	4	4	3
722-3020-0-NMRSA_S37_L001	5	1	4	1	4	12	1	10
7297-3119-0-NMRSA_S43_L001	Novel	1	1	1	1	1	19	1
7304-6059-0-HMRSA_S33_L001	5	1	4	1	4	12	1	10
731-F008-60-G-TIPmmrsa_S20_L001	5	1	4	1	4	12	1	10
733-G008-14-F-TIPmmrsa_S21_L001	5	1	4	1	4	12	1	10
7359-6061-0-NMRSA_S34_L001	8	3	3	1	1	4	4	3
736-H006-1-W-TIPmmrsa_S22_L001	25*	4	1	4	1*	5	5	4
7-4001-0-RMRSA	ND	ND	ND	ND	ND	ND	ND	ND
7449-4091-90-NMRSA_S35_L001	8	3	3	1	1	4	4	3
7473-4115-0-NMRSA_S42_L001	5	1	4	1	4	12	1	10
7541-5041-0-NMRSA_S40_L001	5	1	4	1	4	12	1	10
7543-6041-120-NMRSA_S41_L001	8	3	3	1	1	4	4	3
7635-3125-0-NMRSA_S42_L001	5	1	4	1	4	12	1	10
7726-2071-14-HMRSA_S36_L001	5	1	4	1	4	12	1	10
7769-4119-0-NMRSA_S23_L001	8*	3	3	1	1	4*	4	3
7841-3073-180-NMRSA_S50_L001	8	3	3	1	1	4	4	3
7899-2076-0-NMRSA_S2_L001	8	3	3	1	1	4	4	3
7969-3129-0-NMRSA_S52_L001	5	1	4	1	4	12	1	10
803-A001-120-N-MRSA-TIP	5	1	4	1	4	12	1	10
8053-3135-0-HMRSA_S40_L001	8	3	3	1	1	4	4	3
8066-2078-0-NMRSA_S41_L001	8	3	3	1	1	4	4	3
839-4014-14-NMRSA_S10_L001	5	1	4	1	4	12	1	10
888-J003-90-N-TIPmmrsa_S26_L001	5	1	4	1	4	12	1	10
895-E022-30-G1-TIPmmrsa_S27_L001	5	1	4	1	4	12	1	10
897-D004-14-N1-TIPmmrsa_S28_L001	5	1	4	1	4	12	1	10
90-3003-0-NMRSA_S52_L001	8	3	3	1	1	4	4	3
9081-3152-14-NMRSA_S49_L001	8	3	3	1	1	4	4	3
919-A010-14-N-TIPmmrsa_S29_L001	5	1	4	1	4	12	1	10
96-3004-0-HMRSA_S25_L001	5	1	4	1	4	12	1	10
974-1019-14-NMRSA_S39_L001	367*	1	4	1	4	12	1	57*
982-1024-0-HMRSA_S12_L001	367*	1	4	1	4	12	1	57*
988-2013-30-NMRSA_S40_L001	5	1	4	1	4	12	1	10
991-2016-0-NMRSA_S13_L001	8	3	3	1	1	4	4	3
